id_x,prenom,nom,poste,prix,points,minutes_jouees,buts,passes,clean_sheets,jaunes,rouges,bonus,influence,creativity,threat,forme,id_y,equipe,point_par_million,prochain_adversaire,domicile,points_per_min,ict_calc,poste_1,poste_2,poste_3,poste_4,prix_scaled,points_scaled,minutes_jouees_scaled,buts_scaled,passes_scaled,bonus_scaled,forme_scaled,points_per_min_scaled,ict_calc_scaled
237,Enzo,Fernández,3,6.7,48,880,3,2,4,2,0,3,233.0,263.8,271.0,1.8,7,Chelsea,7.164179104477612,Burnley,0,0.05454545454545454,767.8,False,False,True,False,0.26126126126126126,0.46534653465346537,0.8887765419615774,0.21428571428571427,0.4,0.13043478260869565,0.27956989247311825,0.049321948769462574,0.6191935483870967
476,Dan,Burn,2,5.2,48,972,0,1,5,3,1,4,177.2,48.6,43.0,1.2,15,Newcastle,9.23076923076923,Man City,1,0.04938271604938271,268.79999999999995,False,True,False,False,0.12612612612612614,0.46534653465346537,0.9817997977755308,0.0,0.2,0.17391304347826086,0.2150537634408602,0.04413068685628538,0.21677419354838706
26,Martín,Zubimendi Ibáñez,3,5.4,48,937,2,1,7,2,0,4,214.6,168.9,73.0,4.0,1,Arsenal,8.888888888888888,Spurs,1,0.051227321237993596,456.5,False,False,True,False,0.14414414414414417,0.46534653465346537,0.9464105156723963,0.14285714285714285,0.2,0.17391304347826086,0.5161290322580645,0.04598548323378361,0.3681451612903226
84,Marcus,Tavernier,3,5.5,47,856,2,1,5,0,0,6,180.6,225.7,149.0,5.0,4,Bournemouth,8.545454545454545,West Ham,1,0.054906542056074766,555.3,False,False,True,False,0.15315315315315314,0.45544554455445546,0.8645096056622852,0.14285714285714285,0.2,0.2608695652173913,0.6236559139784945,0.04968503123870501,0.44782258064516123
328,Ryan,Sessegnon,3,5.4,47,836,2,2,2,0,0,5,201.8,89.1,100.0,6.0,10,Fulham,8.703703703703702,Sunderland,1,0.056220095693779906,390.9,False,False,True,False,0.14414414414414417,0.45544554455445546,0.8442871587462083,0.14285714285714285,0.4,0.21739130434782608,0.7311827956989246,0.05100584207882841,0.31524193548387097
457,Carlos Henrique,Casimiro,3,5.5,47,617,3,2,3,3,1,5,207.8,96.5,95.0,8.0,14,Man Utd,8.545454545454545,Everton,1,0.07617504051863858,399.3,False,False,True,False,0.15315315315315314,0.45544554455445546,0.6228513650151668,0.21428571428571427,0.4,0.21739130434782608,0.946236559139785,0.07107103521763658,0.32201612903225807
565,Guglielmo,Vicario,1,5.0,47,990,0,0,4,0,0,5,286.8,0.1,0.0,3.0,18,Spurs,9.4,Arsenal,0,0.047474747474747475,286.90000000000003,True,False,False,False,0.10810810810810811,0.45544554455445546,1.0,0.0,0.0,0.21739130434782608,0.4086021505376344,0.04221217701880685,0.23137096774193552
267,Ismaïla,Sarr,3,6.7,46,792,3,1,5,1,0,6,185.6,105.5,175.0,2.5,8,Crystal Palace,6.865671641791044,Wolves,0,0.05808080808080808,466.1,False,False,True,False,0.26126126126126126,0.44554455445544555,0.7997977755308392,0.21428571428571427,0.2,0.2608695652173913,0.3548387096774193,0.05287683464479044,0.3758870967741936
225,Reece,James,2,5.6,46,706,1,3,3,2,0,4,200.4,219.1,54.0,6.8,7,Chelsea,8.214285714285715,Burnley,0,0.06515580736543909,473.5,False,True,False,False,0.16216216216216212,0.44554455445544555,0.7128412537917088,0.07142857142857142,0.6,0.17391304347826086,0.8172043010752688,0.05999092232325919,0.3818548387096774
568,Pedro,Porro Sauceda,2,5.5,46,863,0,2,4,1,0,2,179.2,207.8,25.0,4.0,18,Spurs,8.363636363636363,Arsenal,0,0.05330243337195829,412.0,False,True,False,False,0.15315315315315314,0.44554455445544555,0.871587462082912,0.0,0.4,0.08695652173913043,0.5161290322580645,0.04807206007567076,0.33225806451612905
